Waluta,Symbol waluty,Kurs średni,Zmiana
bat (Tajlandia),THB,0.1155,0.7
dolar amerykański,USD,3.7832,0.84
dolar australijski,AUD,2.7573,-0.56
dolar hongkoński,HKD,0.4844,0.77
dolar kanadyjski,CAD,2.8469,-0.11
dolar nowozelandzki,NZD,2.6172,0.12
dolar singapurski,SGD,2.7669,0.56
euro,EUR,4.2896,0.2
forint węgierski,HUF,1.3244,-0.08
frank szwajcarski,CHF,3.7899,0.35
funt szterling,GBP,4.8144,0.18
hrywna ukraińska,UAH,0.1352,1.12
jen japoński,JPY,3.3489,0.67
korona czeska,CZK,0.1656,0.3
korona duńska,DKK,0.5747,0.19
korona islandzka,ISK,3.0728,0.2
korona norweska,NOK,0.4443,0.2
korona szwedzka,SEK,0.4201,0.31
kuna chorwacka,HRK,0.5795,0.19
lej rumuński,RON,0.9217,0.16
lew bułgarski,BGN,2.1933,0.21
lira turecka,TRY,0.7073,-0.49
n. szekel,ILS,1.0131,0.86
peso,CLP,0.5641,0.62
peso filipińskie,PHP,0.0717,0.42
peso meksykańskie,MXN,0.1851,-0.11
polski złoty,PLN,1,0
rand RPA,ZAR,0.2751,-0.65
real brazylijski,BRL,0.982,0.57
ringgit malezyjski,MYR,0.9107,0.67
rubel rosyjski,RUB,0.0567,0.18
rupia,INR,5.3654,0.97
rupia (Indonezja),IDR,2.6281,0.1
SDR (MFW),XDR,5.2169,-0.11
won (Korea Płd.),KRW,0.3398,0.15
yuan renminbi,CNY,0.5515,0.51
